,Result,Home_Elo,Away_Elo
296,L,1557.05639648,1833.72973633
297,L,1539.78955078,1654.8762207
298,W,1872.97937012,1748.90441895
299,W,1582.20800781,1525.21118164
300,L,1527.62365723,1612.70153809
301,D,1663.59423828,1532.78051758
302,W,1519.61437988,1551.49829102
303,L,1590.57177734,1586.1973877
304,W,1579.83825684,1577.34240723
305,W,1719.75036621,1652.27062988
306,D,1598.36889648,1745.32714844
307,L,1542.50720215,1743.03442383
308,L,1620.50805664,1724.62719727
309,W,1520.08361816,1600.66174316
310,L,1570.84484863,1839.2878418
311,W,1647.39379883,1534.44543457
312,L,1544.57727051,1580.88330078
313,L,1537.95117188,1519.8170166
314,L,1751.09619141,1526.53540039
315,W,1876.55664062,1587.33557129
316,D,1661.88525391,1586.33581543
317,D,1595.88586426,1658.42358398
318,L,1572.71337891,1884.921875
319,W,1859.66540527,1532.86328125
320,W,1589.53503418,1601.12158203
321,D,1533.02148438,1537.56591797
322,W,1598.45935059,1557.11010742
323,W,1737.16711426,1540.20275879
324,W,1591.1072998,1618.53283691
325,L,1535.46960449,1733.65539551
326,W,1663.75256348,1663.34997559
327,L,1595.43579102,1659.38232422
328,L,1531.32519531,1888.79797363
329,D,1538.46069336,1678.83728027
330,W,1669.5020752,1540.13745117
331,L,1541.22937012,1589.25036621
332,W,1533.62805176,1570.80456543
333,W,1610.32250977,1598.23937988
334,W,1551.63537598,1531.18457031
335,W,1892.87304688,1607.86853027
336,L,1729.61218262,1871.45751953
337,D,1652.19970703,1603.25195312
338,D,1596.3515625,1742.84362793
339,L,1563.54821777,1723.73071289
340,W,1877.33898926,1598.57324219
341,W,1534.95556641,1606.49633789
342,L,1587.59448242,1648.95544434
343,W,1519.69299316,1540.57141113
344,L,1605.71630859,1620.96740723
345,W,1601.36230469,1563.12695312
346,L,1529.11730957,1676.7265625
347,D,1540.88427734,1674.68395996
348,W,1740.62194824,1895.02526855
349,D,1652.19567871,1664.08691406
350,L,1524.9967041,1860.25305176
351,W,1566.88256836,1534.00976562
352,L,1628.61071777,1517.79602051
353,D,1548.97949219,1549.16784668
354,W,1871.8371582,1534.48718262
355,L,1587.61254883,1508.48205566
356,W,1707.50366211,1598.03820801
357,W,1679.89013672,1746.33850098
358,W,1589.49304199,1580.60131836
359,W,1863.35754395,1611.64831543
360,W,1532.56518555,1547.93725586
361,D,1666.49572754,1688.81677246
362,L,1521.01391602,1596.51208496
363,W,1523.5871582,1521.62731934
364,D,1536.31018066,1576.63244629
365,L,1575.1340332,1716.28857422
366,W,1594.7376709,1578.85693359
367,L,1738.96362305,1551.76171875
368,L,1651.33862305,1875.31091309
369,W,1867.21594238,1641.85144043
370,W,1512.41601562,1638.66809082
371,W,1571.68908691,1566.99450684
372,W,1568.24780273,1535.69628906
373,W,1607.79003906,1605.34680176
374,D,1538.27404785,1665.36779785
375,D,1724.42797852,1719.03625488
376,W,1689.94458008,1542.22839355
377,D,1884.79797363,1513.29016113
378,L,1604.23583984,1870.39929199
379,D,1577.24621582,1532.79846191
380,W,1872.84179688,1573.31311035
381,W,1721.54931641,1477.40869141
382,L,1529.16467285,1572.90124512
383,W,1557.08056641,1520.83459473
384,W,1875.37548828,1468.62817383
385,W,1623.64221191,1728.52685547
386,D,1499.64379883,1599.91503906
387,D,1579.72497559,1645.90332031
388,W,1618.24743652,1593.01123047
389,W,1698.0501709,1534.85339355
390,L,1719.27905273,1500.70141602
391,L,1598.85742188,1725.31494141
392,L,1467.54528809,1579.77233887
393,W,1645.85595703,1517.27600098
394,L,1515.32556152,1632.89013672
395,L,1582.6940918,1703.31469727
396,W,1571.86413574,1562.58947754
397,L,1529.58898926,1874.29089355
398,L,1584.78979492,1876.45837402
399,W,1473.64306641,1628.5645752
400,L,1510.23815918,1876.20935059
401,D,1729.94128418,1649.26696777
402,D,1554.54199219,1489.71472168
403,W,1698.46191406,1577.94995117
404,W,1637.81335449,1456.11437988
405,D,1590.60424805,1524.0435791
406,L,1513.48095703,1574.28222656
407,L,1608.86608887,1506.7755127
408,D,1707.68786621,1587.57629395
409,W,1879.67138672,1576.28479004
410,W,1881.87341309,1642.04858398
411,W,1450.36437988,1699.31787109
412,W,1652.40942383,1504.5802002
413,W,1523.46020508,1507.60656738
414,W,1526.83630371,1550.27819824
415,D,1581.66821289,1725.28405762
416,W,1572.56799316,1586.29675293
417,W,1877.32617188,1703.94348145
418,D,1591.59753418,1590.66674805
419,W,1571.77026367,1492.46362305
420,D,1592.52087402,1655.76806641
421,L,1501.55029297,1885.53100586
422,W,1529.51635742,1533.76098633
423,L,1543.35351562,1584.0222168
424,W,1677.12194824,1883.64221191
425,L,1486.02392578,1472.56030273
426,D,1501.22167969,1579.47521973
427,W,1722.93005371,1578.21008301
428,L,1697.62744141,1579.38964844
429,D,1638.39099121,1589.74328613
