,Result,Home_Elo,Away_Elo
162,D,1672.30358887,1741.98376465
163,W,1608.31591797,1637.73291016
164,L,1675.91589355,1790.84887695
165,W,1659.71154785,1556.53283691
166,L,1637.67663574,1729.30065918
167,W,1844.47143555,1875.61328125
168,W,1809.99890137,1622.06689453
169,L,1700.88476562,1828.4777832
170,W,1868.72814941,1666.05725098
171,W,1619.35827637,1613.85546875
172,W,1869.51721191,1627.21484375
173,L,1552.46508789,1851.35656738
174,L,1741.95007324,1694.61279297
175,W,1800.70751953,1615.23059082
176,L,1625.3638916,1663.77929688
177,D,1630.8182373,1619.83703613
178,W,1834.74987793,1672.33728027
179,L,1739.7623291,1812.70751953
180,D,1547.45092773,1710.22485352
181,W,1625.82214355,1611.32897949
182,W,1872.87963867,1667.08239746
183,W,1726.33789062,1678.52441406
184,W,1840.00476074,1856.37072754
185,W,1804.60913086,1607.39160156
186,L,1726.2109375,1663.57434082
187,L,1610.61877441,1623.85241699
188,W,1871.21105957,1621.96948242
189,L,1628.68566895,1826.25891113
190,W,1707.39562988,1714.78442383
191,W,1849.75500488,1636.4921875
192,D,1604.70544434,1731.60107422
193,D,1600.65893555,1846.6204834
194,W,1675.00097656,1550.28015137
195,L,1673.26123047,1807.29528809
196,D,1639.60888672,1873.91320801
197,L,1619.26733398,1594.86242676
198,W,1663.59326172,1620.61218262
199,W,1834.33251953,1876.36877441
200,W,1634.08544922,1703.15942383
201,W,1544.76123047,1644.21655273
202,L,1729.7154541,1865.81921387
203,L,1605.53979492,1671.27966309
204,L,1605.08215332,1869.30554199
205,W,1844.88208008,1680.51977539
206,D,1612.92578125,1606.59106445
207,W,1664.56420898,1609.04760742
208,W,1719.02050781,1852.16174316
209,D,1815.99230957,1841.73950195
210,D,1631.46826172,1610.98901367
211,L,1600.11071777,1738.72241211
212,L,1842.83557129,1598.42236328
213,D,1832.45983887,1851.0546875
214,L,1608.52783203,1673.50109863
215,D,1682.37683105,1814.8963623
216,W,1674.34729004,1594.44250488
217,W,1875.96533203,1642.41967773
218,W,1876.32922363,1557.50952148
219,W,1694.82519531,1719.20544434
220,L,1629.03613281,1594.03747559
221,L,1878.03527832,1613.42114258
222,W,1640.34973145,1707.16723633
223,D,1827.9152832,1878.15698242
224,D,1596.94787598,1680.8684082
225,D,1587.92138672,1852.40368652
226,W,1613.34265137,1706.86328125
227,D,1812.9979248,1555.6817627
228,D,1684.27526855,1744.7956543
229,L,1685.08117676,1831.11083984
230,W,1878.6940918,1862.84655762
231,L,1609.3626709,1593.02233887
232,W,1745.0065918,1613.71081543
233,W,1563.01513672,1827.37805176
234,L,1698.14025879,1673.33374023
235,W,1847.30273438,1597.37927246
236,W,1628.60986328,1648.3963623
237,W,1680.43701172,1684.06433105
238,L,1699.12072754,1805.66455078
239,W,1842.85827637,1622.06567383
240,W,1854.47644043,1581.24572754
241,W,1809.14758301,1849.27038574
242,W,1818.06860352,1635.50769043
243,D,1595.41149902,1751.09399414
244,W,1677.52355957,1589.03234863
245,L,1613.3527832,1683.32666016
246,D,1688.14746094,1686.97790527
247,D,1641.49841309,1887.06420898
248,W,1619.9329834,1686.7166748
249,L,1607.62341309,1844.9909668
250,W,1878.60717773,1627.4017334
