,Home_Elo,Away_Elo,Result
164,1713.02502441,1876.74841309,L
165,1612.2845459,1687.15759277,W
166,1768.01257324,1762.93579102,L
167,1972.24780273,1660.88330078,W
168,1852.28308105,1605.75,D
169,1802.57470703,1694.91394043,D
170,1612.45031738,1843.68688965,L
171,1681.70629883,1659.25720215,L
172,1805.63793945,1774.9395752,W
173,1745.32836914,1708.12573242,W
174,1758.83056641,1557.88757324,L
175,1957.8581543,1881.64770508,D
176,1973.8737793,1698.79870605,W
177,1621.51782227,1845.58276367,L
178,1798.68981934,1677.92431641,W
179,1814.64123535,1847.18725586,W
180,1751.60070801,1571.47119141,W
181,1608.94995117,1884.65588379,L
182,1977.91381836,1716.90234375,W
183,1954.84985352,1701.85339355,L
184,1713.92614746,1670.15527344,W
185,1694.75878906,1754.86621094,L
186,1661.51196289,1672.19189453,L
187,1765.9362793,1806.4588623,L
188,1568.20568848,1980.89001465,L
189,1668.77160645,1606.11364746,D
190,1716.50854492,1722.56933594,W
191,1835.80603027,1745.24682617,D
192,1772.11779785,1826.02246094,D
193,1887.49230957,1616.33154297,L
194,1850.76904297,1940.19458008,L
195,1817.34863281,1872.75183105,D
196,1687.46252441,1748.56945801,W
197,1772.82104492,1652.98876953,L
198,1983.7286377,1631.07202148,W
199,1755.04650879,1715.01342773,L
200,1565.3671875,1608.70385742,D
201,1666.18139648,1841.63513184,W
202,1832.48352051,1724.0645752,W
203,1825.31921387,1680.71520996,L
204,1762.16247559,1949.32849121,L
205,1871.97167969,1745.27954102,W
206,1669.75671387,1696.49487305,L
207,1629.71191406,1565.80126953,W
208,1739.53710938,1818.12878418,W
209,1724.78039551,1756.2232666,L
210,1717.2722168,1985.08862305,L
211,1608.26965332,1808.24291992,L
212,1697.79150391,1756.05297852,L
213,1955.2677002,1677.98449707,L
214,1829.83203125,1839.27575684,L
215,1713.74157715,1808.64489746,W
216,1713.1652832,1692.84667969,D
217,1602.63061523,1767.26208496,D
218,1885.17504883,1763.25097656,D
219,1661.63391113,1732.07617188,W
220,1940.40539551,1989.19555664,L
221,1635.52819824,1847.63122559,L
222,1821.4765625,1559.98510742,W
223,1749.02099609,1813.88208008,D
224,1690.59350586,1704.61767578,W
225,1694.16210938,1723.52783203,D
226,1693.57128906,1711.84997559,L
227,1812.77124023,1927.53271484,W
228,2002.06835938,1824.56140137,W
229,1798.85876465,1701.64001465,W
230,1767.26013184,1606.43029785,L
231,1722.8026123,1750.13171387,L
232,1556.90026855,1881.16577148,D
233,1851.40588379,1670.9074707,W
234,1763.46240234,1631.75354004,W
235,1730.12731934,1627.97814941,D
236,1753.01708984,2011.69641113,L
237,1766.0793457,1702.51098633,W
238,1730.96496582,1571.8059082,D
239,1635.73010254,1631.98217773,W
240,1932.38391113,1753.23779297,L
241,1722.74926758,1864.21386719,D
242,1814.42419434,2020.06530762,L
243,1731.34118652,1833.84924316,L
244,1893.39782715,1673.99377441,W
245,1779.12805176,1829.82678223,W
246,1702.24291992,1686.89331055,L
247,1696.70385742,1725.96862793,W
248,1709.41308594,1723.99633789,L
249,2026.13208008,1786.4119873,W
250,1668.88513184,1770.63085938,D
251,1575.41516113,1691.65307617,W
252,1868.37902832,1895.47717285,D
253,1694.9720459,1641.92236328,D
254,1815.51342773,1815.36376953,L
255,1623.27856445,1912.77612305,L
256,1821.40075684,1724.84448242,W
257,1770.33435059,1710.74829102,W
258,2028.56567383,1768.55395508,W
259,1714.8079834,1803.03857422,D
260,1692.60180664,1895.58666992,D
261,1619.51647949,1732.34509277,W
262,1644.29272461,1831.43725586,L
263,1916.53820801,1868.26953125,L
264,1585.81567383,1776.04931641,L
265,1721.99194336,1764.69824219,D
266,1681.25256348,1801.40612793,L
267,1716.44042969,1827.83862305,D
268,1629.86962891,1705.0333252,L
269,1906.39257812,1639.96740723,L
270,2032.42138672,1891.00476074,L
271,1835.76245117,1697.18359375,W
272,1581.60620117,1670.96203613,D
273,1878.41516113,1780.25878906,W
274,1783.97839355,1701.06433105,W
275,2015.33532715,1714.93103027,W
276,1675.0447998,1728.15466309,D
277,1695.84960938,1589.0802002,W
278,1779.01208496,1724.53747559,L
279,1660.53234863,2024.15002441,L
280,1699.48022461,1891.21850586,D
281,1839.19262695,1854.40942383,W
282,1812.94824219,1625.75024414,W
283,1911.12927246,1797.11901855,W
284,1717.67297363,1681.26708984,L
285,1770.09228516,1905.01672363,L
286,1655.9362793,1702.24511719,L
287,1689.45178223,1674.12109375,W
288,1725.88525391,1821.1105957,L
289,1790.91699219,1842.52282715,D
290,1841.80371094,1908.83166504,L
291,1898.07263184,1582.69042969,L
