,Result,Home_Elo,Away_Elo
429,W,1619.36755371,1587.59509277
430,L,1616.85644531,1622.93798828
431,W,1641.30114746,1713.09741211
432,L,1574.66052246,1705.02160645
433,L,1762.71704102,1617.61096191
434,D,1691.51367188,1701.77307129
435,L,1625.04223633,1947.8795166
436,D,1588.2142334,1648.19360352
437,D,1706.53857422,1585.98852539
438,D,1652.2277832,1594.3815918
439,L,1563.34094238,1561.65820312
440,W,1582.01538086,1685.88586426
441,L,1588.15429688,1622.48132324
442,L,1590.80859375,1750.07995605
443,W,1571.13793945,1690.03369141
444,D,1648.25341797,1701.71850586
445,W,1713.68664551,1630.24804688
446,W,1950.44042969,1553.86120605
447,W,1597.63586426,1594.94396973
448,W,1703.25305176,1648.97351074
449,W,1672.95727539,1565.9954834
450,W,1680.59973145,1579.4095459
451,W,1757.62597656,1676.99743652
452,D,1631.22607422,1708.58496094
453,D,1643.64160156,1580.57189941
454,W,1553.0123291,1648.08361816
455,L,1561.95532227,1951.28930664
456,D,1625.74121094,1583.26257324
457,D,1585.72155762,1718.19335938
458,L,1701.88830566,1606.85827637
459,L,1716.15686035,1952.96777344
460,D,1631.73620605,1583.96337891
461,W,1640.25012207,1573.45019531
462,W,1587.75817871,1586.11950684
463,W,1690.03149414,1708.0748291
464,W,1560.27697754,1618.71508789
465,D,1622.88439941,1672.4609375
466,D,1762.16247559,1638.99084473
467,W,1562.10510254,1686.55908203
468,D,1610.8067627,1757.25183105
469,W,1676.9564209,1645.2677002
470,L,1568.43249512,1571.70776367
471,W,1579.70129395,1568.18530273
472,W,1587.01269531,1699.56921387
473,L,1672.80822754,1710.75085449
474,L,1643.90136719,1628.68688965
475,W,1958.37365723,1622.53710938
476,D,1698.53710938,1594.17626953
477,W,1642.95300293,1684.91748047
478,W,1960.01135254,1658.19812012
479,D,1754.92004395,1596.17504883
480,D,1585.23657227,1637.3067627
481,D,1690.40686035,1554.90380859
482,L,1562.15637207,1694.06921387
483,D,1620.89929199,1613.13867188
484,W,1725.36096191,1585.73022461
485,L,1598.64416504,1629.63537598
486,L,1584.97290039,1749.31787109
487,L,1674.3807373,1685.28088379
488,D,1615.09863281,1655.7076416
489,L,1580.87072754,1962.50195312
490,D,1601.77709961,1730.22058105
491,L,1702.78198242,1618.93920898
492,D,1638.36633301,1553.44372559
493,W,1637.57043457,1653.48974609
494,D,1560.02978516,1589.91320801
495,W,1694.32946777,1649.64111328
496,L,1728.20263672,1614.61706543
497,W,1964.94750977,1691.35852051
498,W,1754.60681152,1559.265625
499,W,1641.41894531,1579.68395996
500,W,1590.67736816,1603.79504395
501,W,1656.18920898,1578.42504883
502,W,1557.32421875,1665.33215332
503,W,1630.3626709,1634.48571777
504,L,1639.9017334,1579.58483887
505,D,1580.08666992,1605.28796387
506,L,1563.3927002,1718.59960938
507,W,1604.86621094,1647.43225098
508,W,1697.47753906,1670.71130371
509,L,1633.09802246,1974.51025391
510,L,1663.97680664,1768.23999023
511,L,1649.65905762,1574.36132812
512,W,1656.69799805,1731.11096191
513,D,1596.80639648,1632.07739258
514,D,1982.26074219,1625.21508789
515,L,1607.58178711,1658.51293945
516,D,1666.2052002,1613.4543457
517,W,1587.08105469,1666.39135742
518,W,1641.37915039,1559.07751465
519,L,1725.44970703,1704.51855469
520,L,1716.07336426,1580.32788086
521,D,1783.67211914,1639.47436523
522,D,1666.7545166,1646.03173828
523,W,1657.74743652,1599.34033203
524,L,1644.76672363,1663.06298828
525,D,1554.42504883,1596.08154297
526,D,1703.3873291,1778.37988281
527,W,1718.70751953,1633.55493164
528,L,1632.80224609,1711.26074219
529,L,1593.01391602,1595.72485352
530,L,1616.59655762,1973.92102051
531,L,1594.36706543,1721.13037109
532,W,1716.49902344,1662.24072266
533,W,1975.71728516,1551.68078613
534,L,1591.8458252,1629.77856445
535,D,1626.67346191,1610.34155273
536,W,1673.59240723,1623.10522461
537,W,1765.09338379,1660.7833252
538,D,1602.91967773,1705.59521484
539,W,1646.08679199,1581.36035156
540,L,1615.42333984,1607.16357422
541,D,1657.81921387,1685.86547852
542,W,1659.59863281,1591.10791016
543,L,1644.90368652,1656.22436523
544,L,1552.84130859,1627.54870605
545,L,1616.78942871,1730.34667969
546,W,1771.05151367,1582.67785645
547,W,1577.17993164,1726.87768555
548,W,1716.05493164,1981.83361816
549,D,1712.4864502,1631.91955566
550,W,1968.8137207,1773.78027344
551,L,1579.94921875,1729.0748291
552,D,1635.29150391,1610.0847168
553,W,1737.0513916,1605.80395508
554,W,1686.76477051,1591.57116699
555,D,1616.78295898,1545.09838867
556,D,1582.38842773,1656.91992188
557,W,1669.20849609,1668.31811523
558,W,1576.91455078,1678.34887695
559,W,1659.16467285,1635.56237793
560,L,1638.45776367,1980.93188477
561,D,1583.76342773,1585.51977539
562,W,1551.41674805,1744.93115234
563,L,1603.30029297,1615.18994141
564,W,1770.18029785,1615.84069824
565,D,1664.55371094,1699.9486084
566,L,1742.32092285,1711.32421875
567,D,1621.55981445,1627.75244141
568,W,1722.44689941,1657.00646973
569,W,1977.30273438,1658.36120605
570,W,1622.70788574,1575.2746582
571,W,1693.8380127,1556.27087402
572,D,1603.49072266,1579.16125488
573,W,1726.41918945,1768.87243652
574,D,1662.44433594,1697.8927002
575,W,1580.35070801,1583.27258301
576,W,1655.70495605,1620.05712891
577,W,1758.20898438,1731.2532959
578,L,1648.20019531,1628.22888184
579,W,1551.26013184,1573.95239258
580,L,1581.49731445,1979.95910645
581,L,1698.52819824,1698.84887695
582,W,1601.15454102,1661.80883789
583,W,1629.25512695,1589.67089844
584,D,1569.75366211,1737.08276367
585,W,1711.83935547,1575.71069336
586,L,1716.77209473,1609.49414062
587,W,1970.93017578,1627.63208008
588,D,1642.82971191,1634.28015137
589,W,1563.95373535,1569.76525879
590,D,1731.10375977,1662.73461914
591,L,1607.06005859,1555.29150391
592,W,1578.67858887,1679.5703125
593,D,1647.50195312,1766.72277832
594,L,1765.01074219,1594.42236328
595,W,1666.27062988,1570.56494141
596,W,1625.63378906,1571.24987793
597,L,1636.22924805,1727.55627441
598,L,1563.14257812,1972.90002441
599,W,1570.72790527,1640.86901855
600,W,1663.81506348,1591.09020996
601,W,1621.72424316,1716.81066895
602,D,1649.20251465,1704.53039551
603,W,1704.70349121,1582.58361816
604,L,1975.03015137,1634.27429199
605,W,1562.02258301,1672.31970215
606,L,1629.01330566,1672.25134277
607,L,1607.65942383,1649.02954102
608,W,1564.51599121,1628.96777344
609,W,1734.81774902,1634.86108398
610,W,1704.26062012,1751.77368164
611,W,1582.65393066,1561.0123291
612,W,1948.81811523,1716.73461914
613,W,1664.99353027,1710.43359375
614,L,1476.57226562,1619.4107666
615,W,1614.16882324,1505.11022949
616,L,1578.02770996,1632.60498047
617,W,1605.06286621,1741.02844238
618,D,1659.44506836,1580.80822754
619,W,1743.25439453,1696.68212891
620,W,1601.1986084,1664.44091797
621,D,1585.89929199,1753.61804199
622,D,1502.37145996,1610.65246582
623,L,1701.07678223,1616.50024414
624,L,1645.54858398,1656.92993164
625,D,1626.5567627,1676.9263916
626,W,1715.08764648,1567.65991211
627,L,1657.56311035,1953.04101562
628,D,1692.55664062,1472.00231934
629,L,1732.16711426,1619.48352051
630,W,1750.68041992,1636.23852539
631,W,1958.08813477,1684.44970703
632,W,1677.29455566,1714.47045898
633,W,1478.703125,1719.66052246
634,W,1609.36120605,1626.18847656
635,W,1685.85571289,1588.83703613
636,D,1633.12731934,1637.18017578
637,D,1563.0871582,1652.51599121
638,D,1666.23999023,1503.66271973
639,D,1661.64819336,1501.06091309
640,W,1519.28503418,1594.45117188
641,L,1629.17663574,1670.52050781
642,W,1648.65698242,1694.74841309
643,L,1715.42370605,1978.07629395
644,D,1721.5447998,1773.53405762
645,L,1641.55322266,1573.85778809
646,W,1698.83093262,1626.27587891
647,D,1653.94946289,1690.59472656
648,D,1982.86047363,1620.76037598
649,L,1582.4197998,1721.34277344
650,W,1589.87145996,1710.63952637
651,W,1678.93676758,1659.57043457
652,W,1773.73608398,1531.31640625
653,W,1683.83496094,1653.29333496
654,L,1506.69104004,1703.69213867
655,D,1621.41467285,1625.53967285
656,W,1691.25097656,1656.01806641
657,W,1650.99743652,1974.50268555
658,W,1525.98413086,1502.14575195
659,L,1708.23730469,1779.06835938
660,W,1701.0045166,1619.91101074
661,L,1729.48352051,1699.33557129
662,W,1647.93334961,1687.50976562
663,D,1627.04333496,1692.12658691
664,W,1645.00158691,1574.27905273
