,Result,Home_Elo,Away_Elo
394,L,1634.40039062,1949.6340332
395,D,1669.08666992,1652.69702148
396,L,1726.9173584,1787.95117188
397,L,1732.38916016,1640.70812988
398,L,1660.83459473,1816.4708252
399,D,2089.421875,1716.19787598
400,L,1653.19348145,1654.75720215
401,W,2030.63049316,1719.90368652
402,D,2080.7824707,1666.3314209
403,W,1822.54821777,1718.42016602
404,D,1724.8371582,1955.54614258
405,W,1796.44836426,1632.1105957
406,W,1690.34228516,1705.16455078
407,L,1655.45227051,1791.31115723
408,W,1777.56359863,1653.90124512
409,L,1709.16333008,1628.48815918
410,W,1715.61474609,1647.15393066
411,W,1954.91882324,1696.15380859
412,L,1668.61914062,2043.81811523
413,D,1679.12145996,1732.9263916
414,W,1652.73474121,1650.13598633
415,L,1702.54089355,1787.78845215
416,L,1631.96716309,1836.69116211
417,W,1649.32006836,1802.77929688
418,L,1807.21911621,2076.57519531
419,W,1721.05419922,1700.78833008
420,W,2045.75012207,1720.36499023
421,W,1733.52770996,1694.34619141
422,L,1792.71325684,1956.72644043
423,W,1644.10339355,1688.62878418
424,D,1642.40368652,1627.10144043
425,L,2081.4609375,1658.76721191
426,W,1841.5567627,1659.3861084
427,D,1695.21606445,1666.68701172
428,W,1678.5201416,1802.33325195
429,D,1801.70056152,1726.62634277
430,L,1681.46557617,2064.75390625
431,W,1962.78552246,1844.03857422
432,L,1629.7722168,2048.23901367
433,D,1682.62890625,1786.6541748
434,L,1717.87609863,1692.22644043
435,W,1730.78222656,1651.26672363
436,W,1669.67663574,1797.54467773
437,L,1656.90441895,1639.73291016
438,L,1786.33154297,1745.24511719
439,W,1675.47436523,1694.52185059
440,D,1705.72497559,1618.55981445
441,W,1635.40063477,1679.84155273
442,D,1646.39941406,1947.6496582
443,L,1672.92138672,1670.99584961
444,W,1831.62011719,1674.8347168
445,W,2045.40307617,1633.26623535
446,W,2065.62597656,1729.67675781
447,D,1759.14978027,1680.10327148
448,W,1747.86975098,1761.18518066
449,W,1766.30664062,1687.40600586
450,D,1728.24438477,1658.38037109
451,L,1685.53674316,1754.78308105
452,W,1754.96679688,1835.7232666
453,D,1942.04211426,2046.47167969
454,L,1672.82971191,2067.05810547
455,D,1679.99609375,1642.41247559
456,L,1623.06335449,1773.7166748
457,L,1670.73144531,1652.00695801
458,L,1684.4699707,1754.08813477
459,L,1632.19775391,1701.22155762
460,W,2034.65637207,1642.87573242
461,D,1650.51098633,1658.84570312
462,W,1657.9519043,1661.4230957
463,W,1756.38183594,1796.69665527
464,L,1703.26416016,1923.03417969
465,W,1655.63842773,1745.35095215
466,W,2050.66333008,1664.44763184
467,W,1761.0020752,1605.93078613
468,L,1633.7364502,1604.39990234
469,D,1758.78796387,1711.88952637
470,L,1652.7121582,1770.01745605
471,L,1736.88500977,2035.71228027
472,D,1927.78125,1766.82214355
473,W,1783.06103516,1664.10437012
474,D,1663.12097168,1648.48669434
475,W,1660.86999512,1755.30371094
476,W,1615.48303223,2051.98999023
477,W,1641.81994629,1698.51708984
478,W,1715.3737793,1666.66296387
479,L,1600.11071777,1622.65332031
480,D,1657.53955078,1665.15588379
481,W,1641.48608398,1716.17749023
482,W,2028.54516602,1786.13439941
483,L,1631.53283691,1908.70532227
484,W,1772.92407227,1656.28320312
485,W,1687.02026367,1730.00854492
486,L,1646.92358398,1627.25476074
487,W,2020.48193359,1582.91162109
488,W,1743.70629883,1656.36450195
489,W,1776.31921387,1644.99707031
490,D,1638.12670898,1749.39672852
491,D,1912.35717773,2021.4128418
492,W,1667.2010498,1649.54260254
493,L,1650.04870605,2030.31665039
494,W,1784.36291504,1696.80102539
495,D,1720.2277832,1781.07104492
496,L,1708.12097168,1779.15856934
497,L,1581.98059082,1636.05163574
498,W,1640.24523926,1627.88098145
499,W,1650.67407227,1655.49438477
500,W,1699.85522461,1653.61547852
501,L,1646.5925293,1671.55639648
502,L,1655.3104248,1927.95300293
503,D,1648.79846191,1646.16149902
504,W,2032.59802246,1653.12341309
505,D,1629.18908691,1730.1541748
506,D,1760.51794434,1576.9083252
507,D,1797.89477539,2041.01013184
508,L,1792.02124023,1795.12268066
509,W,1703.57104492,1684.33764648
510,D,1652.30615234,1646.9041748
511,D,1729.42248535,2033.4152832
512,W,1936.35925293,1754.19165039
513,D,2036.52819824,1704.98937988
514,W,1804.87451172,1629.92077637
515,W,1680.99316406,1709.32666016
516,W,1678.58203125,1802.37670898
517,W,1583.23461914,1646.52880859
518,W,1648.48132324,1782.26953125
519,L,1648.43103027,1637.15588379
520,W,1640.03100586,1583.02099609
521,W,1618.53283691,1654.59924316
522,D,1680.08508301,1682.92297363
523,W,2021.50097656,1794.7421875
524,W,1785.61621094,1705.61328125
525,L,1641.58215332,1734.42919922
526,L,1631.48498535,1933.74279785
527,L,1728.23474121,1642.37072754
528,L,1744.3626709,2022.31958008
529,L,1692.1394043,1630.29833984
530,D,1790.43322754,1633.79638672
531,D,1742.21496582,1711.01953125
532,W,1936.93859863,1646.89196777
533,W,1685.09924316,1789.74743652
534,W,2027.25708008,1625.46362305
535,L,1701.48217773,1739.4251709
536,W,1641.95837402,1677.90869141
537,D,1576.16003418,1680.47949219
538,L,1659.5859375,1628.28930664
539,D,1639.70812988,1647.6685791
540,W,1671.07324219,1576.84399414
541,W,1714.09851074,1784.52148438
542,W,1645.36962891,1643.82958984
543,W,1693.7689209,1648.79382324
544,W,1679.79553223,1938.4609375
545,L,1644.04553223,1739.1361084
546,L,1624.0526123,1692.41931152
547,L,2025.80993652,2028.66809082
548,L,1781.07775879,1748.48803711
549,W,1925.75500488,1676.62646484
550,L,1571.29077148,1702.44116211
551,L,1773.77832031,1633.1496582
552,W,1769.91345215,1640.12158203
553,W,1750.03198242,1651.40539551
554,W,2045.79748535,1637.62719727
555,D,1704.140625,2008.68066406
556,W,1649.74938965,1724.8416748
557,D,1759.65234375,1612.33129883
558,L,1637.79394531,1692.50134277
559,W,1674.01391602,1628.98632812
560,L,1618.07080078,1773.17797852
561,L,1709.10290527,1928.36755371
562,W,1636.85693359,1564.62915039
563,L,2002.98303223,1753.9128418
564,W,1645.70581055,1755.18115234
565,D,1701.30895996,1755.73144531
566,L,1636.40124512,1709.83813477
567,L,1716.8614502,2047.02331543
568,W,1651.74682617,1657.72961426
569,D,1679.13549805,1756.45629883
570,D,1933.20007324,1647.51831055
571,L,1700.58410645,1746.2175293
572,W,1553.96777344,1779.17858887
573,W,1769.18469238,1628.18469238
574,D,1654.66955566,1651.53369141
575,L,1657.94274902,2050.66650391
576,W,1987.71118164,1612.0703125
577,L,1713.21826172,1718.0546875
578,D,1704.27038574,1623.86486816
579,D,1756.52893066,1699.9876709
580,D,1610.08093262,1624.92199707
581,D,1628.14758301,1655.34838867
582,L,1767.60021973,1989.70056152
583,W,1772.4473877,1703.50952148
584,W,1925.36987305,1565.54614258
585,W,2054.69165039,1652.29321289
586,W,1653.90991211,1685.06738281
587,D,1761.73425293,1679.06286621
588,W,1727.7635498,1653.91760254
589,W,1697.08886719,1608.27062988
590,W,1651.56176758,1731.99926758
591,W,1703.68554688,1757.36279297
592,D,1626.73217773,1997.26489258
593,W,1649.6817627,1778.86804199
594,W,1927.04187012,1760.03588867
595,D,1678.16552734,2055.4230957
596,D,1683.43432617,1660.81176758
597,W,1656.8125,1752.83117676
598,W,1563.87414551,1626.68347168
599,D,1740.93518066,1571.1796875
600,L,1663.8223877,1717.92749023
601,L,1619.37792969,1929.80944824
602,W,1990.4654541,1705.92053223
603,L,1769.63513184,1659.58154297
604,D,2048.5637207,1680.42370605
605,D,1723.97961426,1685.02502441
606,W,1743.12084961,1668.70837402
607,W,1757.26831055,1633.53161621
608,L,1599.43896484,1658.91479492
609,W,1666.44274902,1656.8449707
610,W,1674.43188477,1592.92175293
611,L,1728.86914062,2041.92138672
612,L,1579.44104004,1749.35083008
613,L,1618.09155273,1764.03479004
614,W,1936.69128418,1750.35180664
615,D,1690.41809082,1748.73449707
616,L,1669.39611816,2000.43347168
617,W,1701.15759277,1630.72937012
618,W,1691.03027344,1722.55078125
619,L,1646.87573242,2004.26184082
620,D,1583.03588867,1683.93566895
621,W,2041.01904297,1670.8638916
622,W,1705.25097656,1718.93652344
623,D,1637.60595703,1567.97131348
624,W,2001.65441895,1672.83105469
625,W,1736.69238281,1605.78808594
626,L,1749.60327148,1934.75866699
627,W,1764.8515625,1696.95349121
628,W,1733.52563477,1696.84326172
629,L,1617.4543457,1660.01965332
630,W,1683.4119873,2003.83129883
631,W,1668.96630859,1713.96704102
632,D,1740.03027344,1769.1126709
633,W,1944.56860352,1633.46740723
634,W,1710.22045898,1738.77160645
635,W,1691.59729004,1583.55969238
636,L,1602.45019531,1739.79321289
637,W,1670.6541748,1604.47387695
638,D,1572.10986328,2042.91662598
639,D,1673.00012207,1692.69238281
640,D,1577.29882812,1716.76086426
641,W,1630.89831543,1595.63818359
642,W,1990.1965332,1697.85803223
643,W,1746.60534668,1738.33300781
644,L,1732.23120117,1675.76123047
645,W,2034.91699219,1947.13781738
646,D,1599.98083496,1697.04675293
647,W,1694.66503906,1675.1472168
648,W,1770.80993652,1671.02734375
649,W,1707.17211914,1580.10949707
650,W,1692.45947266,1578.76513672
651,L,1715.37597656,1997.87768555
652,L,1696.07250977,1600.20153809
653,L,1588.26464844,2038.95288086
654,L,1754.65869141,1775.89709473
655,W,1720.41442871,1638.35327148
656,W,1947.4329834,1710.36657715
657,W,1696.9074707,1700.08288574
658,L,1576.99633789,1715.61437988
659,L,1669.81079102,1666.02172852
660,W,1618.09716797,1717.10327148
661,D,1579.08288574,1572.703125
662,W,1686.12084961,1708.07568359
663,L,1699.36938477,1688.6315918
664,W,1794.60241699,1660.16638184
665,W,2052.51269531,1722.34606934
666,D,1712.35620117,1591.42370605
667,W,1637.62512207,1764.26403809
668,W,2006.60510254,1702.59643555
669,W,1730.36230469,1958.62341309
670,D,1720.82910156,1707.01013184
671,D,1700.49609375,1626.60546875
672,L,1575.32849121,2008.70544434
673,D,1755.0612793,2054.02954102
674,W,1946.55334473,1576.4576416
675,D,1708.5949707,1688.73181152
676,D,1697.02429199,1655.68994141
677,L,1646.82788086,1799.07885742
678,W,1596.76977539,1742.43237305
679,L,1699.26928711,1697.17224121
680,W,1581.8104248,1612.82531738
681,W,1665.42614746,1695.15820312
682,W,2059.35888672,1646.66589355
683,W,1716.06152344,1763.60217285
684,W,1713.7545166,1711.88354492
685,W,1637.16052246,1579.03405762
686,D,2033.77563477,1957.01538086
687,W,1697.91442871,1702.41210938
688,W,1811.71191406,1699.75927734
689,L,1738.84802246,1724.24902344
690,L,1681.27648926,1714.13415527
691,L,1731.91577148,1580.64587402
692,W,2032.51953125,1807.36328125
693,L,1566.45214844,1703.24157715
694,W,1637.80187988,1721.80822754
695,D,1742.72351074,1715.37280273
696,W,1952.97021484,1633.93395996
697,L,1695.6953125,1667.08825684
698,W,1677.6875,1688.29943848
699,L,1598.18127441,2014.46569824
700,D,1713.71594238,2034.41723633
701,D,1594.15466309,1739.57312012
702,W,1718.52307129,1645.89416504
703,L,1682.04248047,1684.37329102
704,D,2016.15759277,1718.40698242
705,L,1805.4654541,1683.94445801
706,L,1678.41040039,1672.02734375
707,W,1631.81945801,1596.48950195
708,W,1723.38330078,1559.87780762
709,W,1709.81591797,1955.08459473
710,D,1641.4855957,1595.8347168
711,D,1719.59277344,1792.38061523
712,L,1694.73266602,1697.02929688
713,D,1933.92834473,1726.06286621
714,L,1682.62316895,1671.68310547
715,L,1557.19824219,1667.81445312
716,W,1591.17163086,1730.97229004
717,L,1726.44238281,1637.1373291
718,W,1658.05151367,1741.13452148
719,D,1690.03637695,1545.65234375
720,W,2020.21179199,1641.09863281
721,W,1720.72937012,1712.01086426
722,W,1726.17297363,1722.45776367
723,L,1685.84301758,1932.45178223
724,L,1602.70422363,2031.78186035
725,D,1710.57385254,1670.75256348
726,D,1795.99829102,1687.6706543
727,W,1736.15490723,1607.89709473
728,W,1734.35388184,1730.40454102
729,W,1705.21496582,1740.9588623
730,D,1713.55334473,1601.9753418
731,L,1675.55615234,1694.09448242
732,W,1737.95654297,1792.45373535
733,L,1943.07458496,1685.79187012
734,D,2035.38989258,2022.49731445
735,L,1552.77612305,1708.64953613
736,L,1605.97241211,1682.97033691
737,L,1641.70935059,1667.71142578
738,W,2032.73852539,1745.16394043
739,W,1740.10766602,2025.14880371
740,W,1697.53833008,1714.734375
741,L,1607.07189941,1742.23193359
742,W,1710.77233887,1546.62072754
743,L,1714.80493164,1920.75720215
744,L,1658.8782959,1785.24633789
745,D,1731.43933105,1753.02514648
746,W,2012.23132324,1708.45678711
747,W,1724.65075684,1625.15246582
748,W,1708.10925293,1591.40429688
749,W,1684.26831055,2035.67053223
750,W,1707.7286377,1700.97839355
751,L,1546.09436035,1654.44702148
752,W,1623.51721191,1732.14660645
753,L,1587.19885254,1712.00964355
754,W,1756.93737793,1709.20471191
755,D,1753.90649414,2017.57897949
756,L,1707.68762207,1716.93432617
757,D,1935.98059082,1715.91809082
758,W,2023.57983398,1730.90539551
759,W,1794.29724121,1600.01696777
760,D,1664.35717773,1621.38061523
761,L,1725.85974121,1695.31481934
762,W,2027.55529785,1706.81994629
763,D,1718.74145508,1729.49060059
764,L,1761.43212891,1732.27929688
765,L,1725.59033203,1604.4987793
766,L,1609.65246582,1765.81750488
767,W,2023.2388916,1721.74768066
768,W,1700.48059082,1635.15332031
769,D,1799.32885742,1931.65771484
770,W,1720.08740234,1712.83215332
771,D,1630.64526367,1743.46228027
772,D,1704.984375,1706.74523926
773,W,1930.37121582,1599.39941406
774,L,1625.07006836,2029.7142334
