,Result,Home_Elo,Away_Elo
234,W,1697.67858887,1537.59313965
235,L,1493.28259277,1657.38244629
236,W,1586.22619629,1547.23681641
237,L,1616.33374023,1496.49499512
238,W,1627.50439453,1424.65856934
239,D,1696.4317627,1675.46313477
240,W,1930.86669922,1493.6628418
241,W,1674.62963867,1460.18347168
242,L,1542.36547852,1702.36779785
243,W,1687.15466309,1722.31652832
244,W,1826.92419434,1639.35998535
245,L,1548.61621094,1710.53369141
246,L,1505.30871582,1823.77233887
247,D,1602.47436523,1543.8536377
248,W,1430.43054199,1586.67150879
249,L,1572.63671875,1609.17663574
250,W,1933.78564453,1530.86315918
251,L,1824.98864746,1671.33959961
252,W,1490.4753418,1447.47460938
253,L,1452.56896973,1542.18286133
254,D,1558.72290039,1537.12341309
255,L,1711.12194824,1822.21704102
256,W,1702.96557617,1558.1048584
257,D,1487.16564941,1593.24060059
258,L,1612.80407715,1688.52526855
259,D,1690.21228027,1629.77355957
260,W,1696.64013672,1494.48803711
261,L,1832.37121582,1805.87658691
262,W,1592.47180176,1443.16918945
263,D,1690.45166016,1686.4317627
264,L,1539.94885254,1706.03430176
265,L,1549.84191895,1700.96777344
266,D,1444.90991211,1604.68920898
267,L,1529.77453613,1555.89746094
268,W,1633.55407715,1487.93444824
269,D,1555.03601074,1934.87438965
270,W,1923.17907715,1697.7878418
271,L,1564.57617188,1592.00744629
272,W,1496.37072754,1511.77478027
273,W,1684.03796387,1533.21582031
274,W,1708.27282715,1683.52453613
275,W,1809.16906738,1442.61169434
276,L,1478.95458984,1806.22766113
277,L,1597.66650391,1527.07092285
278,L,1434.31262207,1557.41040039
279,W,1709.59130859,1633.2130127
280,W,1694.8104248,1554.5435791
281,D,1626.28271484,1721.2947998
282,W,1805.88586426,1584.93200684
283,W,1668.86901855,1424.0020752
284,W,1538.171875,1488.57275391
285,D,1529.43481445,1714.88806152
286,L,1440.20690918,1686.18554688
287,L,1501.73693848,1809.94042969
288,L,1600.40649414,1926.11828613
289,W,1566.08740234,1473.6862793
290,W,1808.79443359,1498.80395508
291,L,1582.0234375,1711.85705566
292,L,1495.60778809,1436.17932129
293,W,1690.2130127,1551.73730469
294,L,1551.28808594,1671.97497559
295,D,1812.87329102,1928.90930176
296,L,1466.55529785,1532.46569824
297,D,1626.83935547,1573.21838379
298,D,1420.89599609,1698.0657959
299,L,1720.73815918,1597.61547852
300,D,1687.31335449,1575.36645508
301,D,1496.99389648,1426.18139648
302,W,1927.67224121,1483.7388916
303,W,1692.78027344,1454.99951172
304,L,1548.36254883,1810.60449219
305,L,1544.02148438,1623.35229492
306,W,1449.78283691,1708.08508301
307,L,1718.51416016,1814.11035156
308,D,1610.26855469,1693.58764648
309,W,1576.70544434,1535.9498291
310,D,1823.25708008,1688.86694336
311,W,1542.89038086,1490.29370117
312,L,1699.52514648,1499.51269531
313,D,1533.01013184,1712.30627441
314,D,1701.59814453,1703.08129883
315,W,1832.953125,1592.27990723
316,D,1457.33325195,1548.34484863
317,W,1586.44763184,1616.96582031
318,D,1637.11828613,1468.90466309
319,L,1436.29748535,1953.7166748
320,W,1696.0032959,1549.5859375
321,W,1686.97558594,1701.52868652
322,L,1706.87390137,1515.78552246
323,L,1510.00268555,1633.03881836
324,W,1962.11950684,1537.93273926
325,W,1711.10693359,1459.81530762
326,L,1611.86071777,1476.70727539
327,D,1595.27600098,1838.12915039
328,W,1590.82702637,1558.69812012
329,L,1436.97888184,1819.84399414
330,D,1699.37097168,1963.52990723
331,D,1644.36657715,1598.64733887
332,L,1822.90734863,1714.7253418
333,W,1546.21826172,1596.23266602
334,W,1553.29260254,1433.91552734
335,D,1489.92077637,1692.50280762
336,L,1530.15673828,1599.86328125
337,L,1536.52246094,1510.45324707
338,L,1694.97937012,1833.54187012
339,W,1456.19702148,1693.52490234
340,D,1972.75756836,1644.78637695
341,W,1843.30480957,1560.57421875
342,L,1692.56958008,1809.11474609
343,D,1524.59729004,1476.93212891
344,W,1522.26928711,1565.15734863
345,W,1530.73815918,1692.58996582
346,W,1735.89147949,1605.60107422
347,D,1615.12451172,1680.16345215
348,L,1434.00744629,1497.22753906
349,D,1584.66723633,1708.09179688
350,D,1707.12194824,1681.60327148
351,W,1680.86010742,1743.64624023
352,W,1821.34765625,1967.05285645
353,W,1555.0958252,1426.4432373
354,W,1559.11682129,1533.59741211
355,W,1506.05847168,1586.90368652
356,L,1682.99902344,1615.69433594
357,W,1481.76257324,1541.59558105
358,D,1599.11303711,1521.76855469
359,L,1653.57434082,1846.02893066
360,L,1521.68701172,1835.77844238
361,W,1856.6003418,1688.61779785
362,W,1684.1817627,1560.22192383
363,L,1527.91455078,1704.54345703
364,W,1533.81506348,1643.00292969
365,W,1952.62207031,1514.56188965
366,L,1735.8885498,1671.57043457
367,W,1627.12304688,1564.79968262
368,D,1578.40014648,1596.15783691
369,W,1421.31713867,1489.54321289
370,W,1709.9597168,1521.68701172
371,L,1553.73474121,1953.78259277
372,W,1840.59570312,1542.80224609
373,W,1555.24023438,1690.66894531
374,W,1513.40136719,1719.88928223
375,D,1683.84899902,1432.44360352
376,W,1687.56958008,1576.91088867
377,W,1478.41662598,1522.49829102
378,L,1597.64709473,1861.3692627
379,W,1634.015625,1636.68249512
380,W,1947.48937988,1565.65222168
381,L,1522.51074219,1871.56494141
382,L,1713.96374512,1842.79345703
383,D,1552.73474121,1643.47790527
384,L,1530.56396484,1688.4934082
385,W,1695.03662109,1677.37304688
386,D,1704.37426758,1511.1920166
387,W,1593.50964355,1481.23071289
388,D,1628.86779785,1542.2520752
389,L,1571.09143066,1519.29943848
390,L,1850.76452637,1706.21826172
391,L,1478.90209961,1554.7220459
392,L,1548.04016113,1950.44580078
393,W,1700.5769043,1565.66638184
394,L,1520.78479004,1699.40795898
395,D,1521.76489258,1520.78479004
396,L,1669.16210938,1598.80883789
397,W,1880.07043457,1708.96350098
398,W,1519.12902832,1562.27746582
399,W,1644.46130371,1626.05041504
400,W,1952.95239258,1522.79724121
401,W,1705.02099609,1616.29296875
402,L,1470.78979492,1654.21875
403,L,1562.83435059,1884.01281738
404,W,1562.27624512,1519.75244141
405,W,1724.65270996,1526.39538574
406,W,1705.85852051,1703.96691895
407,W,1555.0111084,1545.53356934
408,L,1522.79724121,1657.60693359
409,W,1838.75415039,1514.6574707
410,L,1520.53466797,1734.13085938
411,W,1677.87390137,1564.25622559
412,W,1714.63989258,1567.01831055
413,D,1512.61572266,1726.99401855
414,L,1545.65344238,1727.02600098
415,W,1886.64453125,1471.70812988
416,L,1618.12512207,1953.97009277
417,L,1529.04443359,1573.62121582
418,D,1665.4276123,1616.4276123
419,D,1560.44555664,1740.65966797
420,W,1717.7869873,1516.84716797
421,W,1724.56945801,1514.00585938
422,L,1470.03271484,1840.79589844
423,L,1585.81848145,1614.51965332
424,D,1540.4185791,1512.61572266
425,W,1957.57556152,1681.68457031
426,L,1732.26098633,1888.31994629
427,L,1563.87133789,1662.03381348
428,D,1512.61572266,1619.82141113
429,W,1844.8079834,1556.62182617
430,W,1959.16760254,1669.28320312
431,L,1513.4309082,1897.95959473
432,L,1576.89868164,1513.61877441
433,W,1509.30773926,1466.02050781
434,D,1680.0925293,1729.26745605
435,W,1737.65087891,1539.18798828
436,W,1618.81835938,1721.20324707
437,L,1623.43945312,1563.4543457
438,L,1513.61877441,1722.62133789
439,L,1541.49731445,1579.6809082
440,W,1559.29748535,1636.17932129
441,L,1716.4609375,1854.43383789
442,D,1736.88708496,1968.34545898
443,L,1463.09533691,1744.80773926
444,W,1510.45153809,1684.21728516
