,0
295,1.0613880157470703
296,1.0605281591415405
297,1.0619922876358032
298,1.0612581968307495
299,1.0624480247497559
300,1.0608718395233154
301,1.0612576007843018
302,1.0623704195022583
303,1.0610228776931763
304,1.062048316001892
305,1.0608288049697876
306,1.0627925395965576
307,1.059882402420044
308,1.06147301197052
309,1.0609787702560425
310,1.0591237545013428
311,1.060795545578003
312,1.0618281364440918
313,1.0608810186386108
314,1.0621533393859863
315,1.0604314804077148
316,1.0614628791809082
317,1.0602604150772095
318,1.060895562171936
319,1.059939980506897
320,1.063035011291504
321,1.06065833568573
322,1.0606609582901
323,1.0598578453063965
324,1.0627937316894531
325,1.0617995262145996
326,1.0615817308425903
327,1.058946967124939
328,1.059831142425537
329,1.0615932941436768
330,1.0586634874343872
331,1.0601037740707397
332,1.062382698059082
333,1.0627142190933228
334,1.0611292123794556
335,1.0620753765106201
336,1.0617140531539917
337,1.0619100332260132
338,1.0619245767593384
339,1.062056064605713
340,1.0605289936065674
341,1.0603954792022705
342,1.0611436367034912
343,1.06134033203125
344,1.0613001585006714
345,1.0606976747512817
346,1.0595909357070923
347,1.0611591339111328
348,1.0610443353652954
349,1.0592033863067627
350,1.05950129032135
351,1.0608892440795898
352,1.060588002204895
353,1.0597679615020752
354,1.060668706893921
355,1.0607291460037231
356,1.0601823329925537
357,1.0585427284240723
358,1.0584731101989746
359,1.0606979131698608
360,1.0611271858215332
361,1.0612757205963135
362,1.0600820779800415
363,1.0605701208114624
364,1.0607014894485474
365,1.060598373413086
366,1.05996572971344
367,1.059870719909668
368,1.0608404874801636
369,1.060976266860962
370,1.0607374906539917
371,1.0614922046661377
372,1.0592578649520874
373,1.0598520040512085
374,1.0585551261901855
375,1.0597162246704102
376,1.0609760284423828
377,1.059664249420166
378,1.0603805780410767
379,1.0605971813201904
380,1.0587530136108398
381,1.0598304271697998
382,1.0586897134780884
383,1.0590626001358032
384,1.0590850114822388
385,1.0607255697250366
386,1.0607134103775024
387,1.059309959411621
388,1.0587153434753418
389,1.0595896244049072
390,1.0599063634872437
391,1.059065580368042
392,1.0598223209381104
393,1.059806227684021
394,1.0608264207839966
395,1.060860514640808
396,1.0600900650024414
397,1.0607563257217407
398,1.058506965637207
399,1.0576144456863403
400,1.0579802989959717
401,1.059004306793213
402,1.060287356376648
403,1.0599415302276611
404,1.0604621171951294
405,1.0590157508850098
406,1.0620282888412476
407,1.0604034662246704
408,1.0588301420211792
409,1.059980869293213
410,1.0609989166259766
411,1.0590550899505615
412,1.0595507621765137
413,1.0610843896865845
414,1.0595788955688477
415,1.0593416690826416
416,1.0578827857971191
417,1.0598808526992798
418,1.060225009918213
419,1.0598955154418945
420,1.05955171585083
421,1.059424638748169
422,1.0579416751861572
423,1.0597212314605713
424,1.0581941604614258
425,1.059157371520996
426,1.0584728717803955
427,1.0591164827346802
428,1.0590341091156006
429,1.0591070652008057
430,1.0578078031539917
431,1.0601551532745361
432,1.0591113567352295
433,1.0596942901611328
434,1.0586328506469727
435,1.0594170093536377
436,1.0592302083969116
437,1.059756875038147
438,1.0571110248565674
439,1.0594815015792847
440,1.060677170753479
441,1.0604655742645264
442,1.059119462966919
443,1.0588014125823975
444,1.0580394268035889
445,1.0579575300216675
446,1.0592765808105469
447,1.059903621673584
448,1.0582324266433716
449,1.0585163831710815
450,1.0610623359680176
451,1.0594937801361084
452,1.0595641136169434
453,1.0576350688934326
454,1.0576952695846558
455,1.0586661100387573
456,1.0597885847091675
457,1.0587501525878906
458,1.0587178468704224
459,1.0593501329421997
460,1.0589600801467896
461,1.0589158535003662
462,1.057321548461914
463,1.058040738105774
464,1.0573902130126953
465,1.0574419498443604
466,1.0592663288116455
467,1.0583341121673584
468,1.059668779373169
469,1.0598034858703613
470,1.0570765733718872
471,1.0577630996704102
472,1.056393027305603
473,1.0579382181167603
474,1.058976650238037
475,1.0554832220077515
476,1.0581846237182617
477,1.05776846408844
478,1.0571143627166748
479,1.0594542026519775
480,1.0578148365020752
481,1.0578690767288208
482,1.0579521656036377
483,1.0574915409088135
484,1.057509422302246
485,1.0565714836120605
486,1.0591949224472046
487,1.0587763786315918
488,1.05730402469635
489,1.0579913854599
490,1.0569911003112793
